nodeDescription,nodeIp,nodeMgmtIp,nodeModel,nodeName,nodeSW,nodeSerial,nodeType,nodeVendor,version
PORTO CERESIO,14.14.145.5,14.14.145.5,MA5800,POCEITAA-700,V100R016C00,,OLT,HUAWEI,1
Castel di Leva,14.169.20.5,14.169.20.5,MA5600,ROMAITCE-200,V800R015C10,,olt,Huawei,1
"",14.16.56.5,14.16.56.5,MA5600,MILAITCM-201,V800R015,--,olt,huawei,1
"",14.0.93.141,14.0.93.141,MA5600,TORIITBT-202,V800R015,029937T0F5014222,olt,huawei,1
"",14.16.64.5,14.16.64.5,MA5600,MILAITAX-201,V800R015,--,olt,huawei,1
"MILANO NAPOLI  ",14.16.204.5,14.16.204.5,MA5600,MILAITBV-201,V800R015C10,,olt,Huawei,1
RE STADIO,14.104.106.133,14.104.106.133,MA5600,REEMITAQ-201,V800R015C10,,olt,Huawei,1
"",14.16.28.7,14.16.28.7,MA5600,MILAITBK-203,V800R015,--,olt,huawei,1
"",14.16.28.6,14.16.28.6,MA5600,MILAITBK-202,V800R015,--,olt,huawei,1
"",14.16.28.5,14.16.28.5,MA5600,MILAITBK-201,V800R015,--,olt,huawei,1
"",14.16.216.5,14.16.216.5,MA5600,MILAITBX-201,V800R015,029937D0A3000774,olt,huawei,1
"",14.16.92.5,14.16.92.5,MA5600,MILAITCB-201,V800R015,--,olt,huawei,1
GRUMO NEVANO,14.208.48.5,14.208.48.5,MA5600,CRISITAC-200,V800R015C10,,olt,Huawei,1
"",14.16.244.11,14.16.244.11,MA5600,MILAITBB-201,V800R015,029937T0B7041769,olt,huawei,1
"",14.16.160.6,14.16.160.6,MA5600,MILAITBG-201,V800R015,--,olt,huawei,1
TORINO CENTRO,14.0.8.11,14.0.8.11,MA5600,TORIITAX-200,V800R015C10,,olt,Huawei,1
"",14.16.92.11,14.16.92.11,MA5600,MILAITCB-200,V800R015,--,olt,huawei,1
"",14.16.80.6,14.16.80.6,MA5600,MILAITCF-202,V800R015,--,olt,huawei,1
"",14.16.168.5,14.16.168.5,MA5600,MILAITBT-200,V800R015,--,olt,huawei,1
"",14.16.224.5,14.16.224.5,MA5600,MILAITBE-201,V800R015,--,olt,huawei,1
"",14.16.28.11,14.16.28.11,MA5600,MILAITBK-200,V800R015,--,olt,huawei,1
"",14.16.80.5,14.16.80.5,MA5600,MILAITCF-201,V800R015,--,olt,huawei,1
"",14.16.220.11,14.16.220.11,MA5600,MILAITBF-202,V800R015,--,olt,huawei,1
"",14.16.0.5,14.16.0.5,MA5600,MILAITAY-200,V800R015,--,olt,huawei,1
"",14.16.224.6,14.16.224.6,MA5600,MILAITBE-202,V800R015,--,olt,huawei,1
PARMA OVEST,14.104.106.141,14.104.106.141,MA5600,PARMITAG-201,V800R015C10,,olt,Huawei,1
"",14.0.92.173,14.0.92.173,MA5600,TORIITBB-201,V800R015,029937T0F6000081,olt,huawei,1
"",14.16.160.5,14.16.160.5,MA5600,MILAITBG-200,V800R015,--,olt,huawei,1
"",14.200.71.5,14.200.71.5,MA5600,TOANITAB-200,V800R015,029937D0EA000800,olt,huawei,1
"",14.16.224.7,14.16.224.7,MA5600,MILAITBE-203,V800R015,--,olt,huawei,1
"",14.0.111.5,14.0.111.5,MA5600,TORIITAY-203,V800R015,029937T0G3060880,olt,huawei,1
"",14.16.224.8,14.16.224.8,MA5600,MILAITBE-200,V800R015,--,olt,huawei,1
"",14.168.16.6,14.168.16.6,MA5600,ROMAITFW-200,V800R015,--,olt,huawei,1
"",14.216.74.5,14.216.74.5,MA5600,BARIITAF-202,V800R015,029937T0F2084091,olt,huawei,1
"",14.216.74.13,14.216.74.13,MA5600,BARIITAF-201,V800R015,029937D0F5001594,OLT,HUAWEI,1
"",14.96.67.77,14.96.67.77,MA5600,BOLOITBH-202,V800R015,029937T0F6000085,olt,huawei,1
"",14.136.83.93,14.136.83.93,MA5600,FIREITBW-201,V800R015,029937T0F6000092,olt,huawei,1
MILANO S.SIRO,14.16.216.8,14.16.216.8,MA5600,MILAITBX-203,V800R015C10,,olt,Huawei,1
"",14.240.80.157,14.240.80.157,MA5600,PALEITAS-201,V800R015,029937T0G4022483,olt,huawei,1
"",14.16.64.11,14.16.64.11,MA5600,MILAITAX-200,V800R015,--,olt,huawei,1
"",14.32.114.5,14.32.114.5,MA5600,BERGITAZ-201,V800R015,029937T0G3061069,olt,huawei,1
"",14.18.88.5,14.18.88.5,MA5600,MILAITAB-200,V800R015,029937D0E6002170,olt,huawei,1
"",14.248.98.149,14.248.98.149,MA5600,CATAITAW-201,V800R015,029937D0F5001321,olt,huawei,1
" BA JAPIGIA",14.216.74.21,14.216.74.21,MA5600,BARIITAR-202,V800R015C10,,olt,Huawei,1
"",14.0.92.133,14.0.92.133,MA5600,TORIITBM-200,V800R015,029937T0F5032626,olt,huawei,1
"",14.168.14.133,14.168.14.133,MA5600,ROMAITDZ-200,V800R015,029937D0E2000534,olt,huawei,1
"",14.16.200.5,14.16.200.5,MA5600,MILAITBP-201,V800R015,029937D0B8000398,olt,huawei,1
"",14.16.216.6,14.16.216.6,MA5600,MILAITBX-200,V800R015,--,olt,huawei,1
"",14.16.216.11,14.16.216.11,MA5600,MILAITBX-202,V800R015,--,olt,huawei,1
"",14.0.93.157,14.0.93.157,MA5600,TORIITBQ-201,V800R015,029937T0F6000083,olt,huawei,1
"",14.16.168.8,14.16.168.8,MA5600,MILAITBT-203,V800R015,--,olt,huawei,1
"",14.16.208.6,14.16.208.6,MA5600,MILAITCN-201,V800R015,029937T0B5029751,olt,huawei,1
